,language
0,Arabic
1,Arabic
2,Arabic
3,Arabic
4,Arabic
5,Armenian
6,Austrian
7,Azerbaijani
8,Azerbaijani
9,Indonesian
10,Indonesian
11,Indonesian
12,Portugese
13,English
14,English
15,Cantonese
16,Cantonese
17,Chinese
18,Chinese
19,Chinese
20,Chinese
21,Chinese
22,Chinese
23,Chinese
24,Chinese
25,Chinese
26,Chinese
27,Chinese
28,Chinese
29,Chinese
30,Chinese
31,Chinese
32,Chinese
33,Chinese
34,Chinese
35,Chinese
36,Chinese
37,Chinese
38,Chinese
39,Chinese
40,Chinese
41,Chinese
42,Chinese
43,Chinese
44,Chinese
45,Chinese
46,Chinese
47,Chinese
48,Chinese
49,Chinese
50,Chinese
51,Chinese
52,Chinese
53,Chinese
54,Chinese
55,Chinese
56,Chinese
57,Chinese
58,Chinese
59,Chinese
60,Chinese
61,Chinese
62,Chinese
63,Chinese
64,Chinese
65,Chinese
66,Chinese
67,Chinese
68,Chinese
69,Chinese
70,Chinese
71,Chinese
72,Chinese
73,Chinese
74,Chinese
75,Chinese
76,Chinese
77,Chinese
78,Chinese
79,Chinese
80,Chinese
81,Chinese
82,Chinese
83,Chinese
84,Chinese
85,Chinese
86,Chinese
87,Chinese
88,Chinese
89,Chinese
90,Chinese
91,Chinese
92,Chinese
93,Chinese
94,Chinese
95,Chinese
96,Chinese
97,Chinese
98,Chinese
99,Chinese
100,Chinese
101,Chinese
102,Chinese
103,Chinese
104,Chinese
105,Chinese
106,Chinese
107,Chinese
108,Chinese
109,Chinese
110,Chinese
111,Chinese
112,Chinese
113,Chinese
114,Chinese
115,Chinese
116,Chinese
117,Chinese
118,Chinese
119,Chinese
120,Chinese
121,Chinese
122,Chinese
123,Chinese
124,Chinese
125,Chinese
126,Chinese
127,Chinese
128,Chinese
129,Chinese
130,Chinese
131,Chinese
132,Chinese
133,Chinese
134,Chinese
135,Chinese
136,Chinese
137,Chinese
138,Chinese
139,Chinese
140,Chinese
141,Chinese
142,Chinese
143,Chinese
144,Chinese
145,Chinese
146,Chinese
147,Chinese
148,Chinese
149,Chinese
150,Chinese
151,Chinese
152,Chinese
153,Chinese
154,Chinese
155,Chinese
156,Chinese
157,Chinese
158,Chinese
159,Chinese
160,Chinese
161,Chinese
162,Chinese
163,Chinese
164,Chinese
165,Chinese
166,Chinese
167,Chinese
168,Chinese
169,Chinese
170,Chinese
171,Chinese
172,Chinese
173,Chinese
174,Chinese
175,Chinese
176,Chinese
177,Chinese
178,Chinese
179,Chinese
180,Chinese
181,Chinese
182,Chinese
183,Chinese
184,Chinese
185,Chinese
186,Chinese
187,Chinese
188,Chinese
189,Chinese
190,Chinese
191,Chinese
192,Chinese
193,Chinese
194,Chinese
195,Chinese
196,Chinese
197,Chinese
198,Chinese
199,Chinese
200,Chinese
201,Chinese
202,Chinese
203,Chinese
204,Chinese
205,Chinese
206,Chinese
207,Chinese
208,Chinese
209,Chinese
210,Chinese
211,Chinese
212,Chinese
213,Chinese
214,Chinese
215,Chinese
216,Chinese
217,Chinese
218,Chinese
219,Chinese
220,Chinese
221,Chinese
222,Chinese
223,Chinese
224,Chinese
225,Chinese
226,Chinese
227,Chinese
228,Chinese
229,Chinese
230,Chinese
231,Chinese
232,Chinese
233,Chinese
234,Chinese
235,Chinese
236,Chinese
237,Chinese
238,Chinese
239,Chinese
240,Chinese
241,Chinese
242,Chinese
243,Chinese
244,Chinese
245,Chinese
246,Chinese
247,Chinese
248,Chinese
249,Chinese
250,Chinese
251,Chinese
252,Chinese
253,Chinese
254,Chinese
255,Chinese
256,Chinese
257,Chinese
258,Chinese
259,Chinese
260,Chinese
261,Chinese
262,Chinese
263,Chinese
264,Chinese
265,Chinese
266,Chinese
267,Chinese
268,Chinese
269,Chinese
270,Chinese
271,Chinese
272,Chinese
273,Chinese
274,Chinese
275,Chinese
276,Chinese
277,Chinese
278,Chinese
279,Chinese
280,Chinese
281,Chinese
282,Chinese
283,Chinese
284,Chinese
285,Chinese
286,Chinese
287,Chinese
288,Chinese
289,Chinese
290,Chinese
291,Chinese
292,Chinese
293,Chinese
294,Chinese
295,Chinese
296,Chinese
297,Chinese
298,Chinese
299,Chinese
300,Chinese
301,Chinese
302,Chinese
303,Chinese
304,Chinese
305,Chinese
306,Chinese
307,Chinese
308,Chinese
309,Chinese
310,Chinese
311,Chinese
312,Chinese
313,Chinese
314,Chinese
315,Chinese
316,Chinese
317,Chinese
318,Chinese
319,Chinese
320,Chinese
321,Chinese
322,Chinese
323,Chinese
324,Chinese
325,Chinese
326,Chinese
327,Chinese
328,Chinese
329,Chinese
330,Chinese
331,Chinese
332,Chinese
333,Chinese
334,Chinese
335,Chinese
336,Chinese
337,Chinese
338,Chinese
339,Chinese
340,Chinese
341,Chinese
342,Chinese
343,Chinese
344,Chinese
345,Chinese
346,Chinese
347,Chinese
348,Chinese
349,Chinese
350,Chinese
351,Chinese
352,Chinese
353,Chinese
354,Chinese
355,Chinese
356,Chinese
357,Chinese
358,Chinese
359,Chinese
360,Chinese
361,Chinese
362,Chinese
363,Chinese
364,Chinese
365,Chinese
366,Chinese
367,Chinese
368,Chinese
369,Chinese
370,Chinese
371,Chinese
372,Chinese
373,Chinese
374,Chinese
375,Chinese
376,Chinese
377,Chinese
378,Chinese
379,Chinese
380,Chinese
381,Chinese
382,Chinese
383,Chinese
384,Chinese
385,Chinese
386,Chinese
387,Chinese
388,Chinese
389,Chinese
390,Chinese
391,Chinese
392,Chinese
393,Chinese
394,Chinese
395,Chinese
396,Chinese
397,Chinese
398,Chinese
399,Chinese
400,Chinese
401,Chinese
402,Chinese
403,Chinese
404,Chinese
405,Chinese
406,Chinese
407,Chinese
408,Chinese
409,Chinese
410,Chinese
411,Chinese
412,Chinese
413,Chinese
414,Chinese
415,Chinese
416,Chinese
417,Chinese
418,Chinese
419,Chinese
420,Chinese
421,Chinese
422,Chinese
423,Chinese
424,Chinese
425,Chinese
426,Chinese
427,Chinese
428,Chinese
429,Chinese
430,Chinese
431,Chinese
432,Chinese
433,Chinese
434,Chinese
435,Chinese
436,Chinese
437,Chinese
438,Chinese
439,Chinese
440,Chinese
441,Chinese
442,Chinese
443,Chinese
444,Chinese
445,Chinese
446,Chinese
447,Chinese
448,Chinese
449,Chinese
450,Chinese
451,Chinese
452,Chinese
453,Chinese
454,Chinese
455,Chinese
456,Chinese
457,Chinese
458,Chinese
459,Chinese
460,Chinese
461,Chinese
462,Chinese
463,Chinese
464,Chinese
465,Chinese
466,Chinese
467,Chinese
468,Chinese
469,Chinese
470,Chinese
471,Chinese
472,Chinese
473,Chinese
474,Chinese
475,Chinese
476,Chinese
477,Chinese
478,Chinese
479,Chinese
480,Chinese
481,Chinese
482,Chinese
483,Chinese
484,Chinese
485,Chinese
486,Chinese
487,Chinese
488,Chinese
489,Chinese
490,Chinese
491,Chinese
492,Chinese
493,Chinese
494,Chinese
495,Chinese
496,Chinese
497,Chinese
498,Chinese
499,Chinese
500,Chinese
501,Chinese
502,Chinese
503,Chinese
504,Chinese
505,Chinese
506,Chinese
507,Chinese
508,Chinese
509,Chinese
510,Chinese
511,Chinese
512,Chinese
513,Chinese
514,Chinese
515,Chinese
516,Chinese
517,Chinese
518,Chinese
519,Chinese
520,Chinese
521,Chinese
522,Chinese
523,Chinese
524,Chinese
525,Chinese
526,Chinese
527,Chinese
528,Chinese
529,Chinese
530,Chinese
531,Chinese
532,Chinese
533,Chinese
534,Chinese
535,Chinese
536,Chinese
537,Chinese
538,Chinese
539,Chinese
540,Chinese
541,Chinese
542,Chinese
543,Chinese
544,Chinese
545,Chinese
546,Chinese
547,Chinese
548,Chinese
549,Chinese
550,Chinese
551,Chinese
552,Chinese
553,Chinese
554,Chinese
555,Chinese
556,Chinese
557,Chinese
558,Chinese
559,Chinese
560,Chinese
561,Chinese
562,Chinese
563,Chinese
564,Chinese
565,Chinese
566,Chinese
567,Chinese
568,Chinese
569,Chinese
570,Chinese
571,Chinese
572,Chinese
573,Chinese
574,Chinese
575,Chinese
576,Chinese
577,Chinese
578,Chinese
579,Chinese
580,Chinese
581,Chinese
582,Chinese
583,Chinese
584,Chinese
585,Chinese
586,Chinese
587,Chinese
588,Chinese
589,Chinese
590,Chinese
591,Chinese
592,Chinese
593,Chinese
594,Chinese
595,Chinese
596,Chinese
597,Chinese
598,Chinese
599,Chinese
600,Chinese
601,Chinese
602,Chinese
603,Chinese
604,Chinese
605,Chinese
606,Chinese
607,Chinese
608,Chinese
609,Chinese
610,Chinese
611,Chinese
612,Chinese
613,Chinese
614,Chinese
615,Chinese
616,Chinese
617,Chinese
618,Chinese
619,Chinese
620,Chinese
621,Chinese
622,Chinese
623,Chinese
624,Chinese
625,Chinese
626,Chinese
627,Chinese
628,Chinese
629,Chinese
630,Chinese
631,Chinese
632,Chinese
633,Chinese
634,Chinese
635,Chinese
636,Chinese
637,Chinese
638,Chinese
639,Chinese
640,Chinese
641,Chinese
642,Chinese
643,Chinese
644,Chinese
645,Chinese
646,Chinese
647,Chinese
648,Chinese
649,Chinese
650,Chinese
651,Chinese
652,Chinese
653,Chinese
654,Chinese
655,Chinese
656,Chinese
657,Chinese
658,Chinese
659,Chinese
660,Chinese
661,Chinese
662,Chinese
663,Chinese
664,Chinese
665,Chinese
666,Chinese
667,Chinese
668,Chinese
669,Chinese
670,Chinese
671,Chinese
672,Chinese
673,Chinese
674,Chinese
675,Chinese
676,Chinese
677,Chinese
678,Chinese
679,Chinese
680,Chinese
681,Chinese
682,Chinese
683,Chinese
684,Chinese
685,Chinese
686,Chinese
687,Chinese
688,Chinese
689,Chinese
690,Chinese
691,Chinese
692,Chinese
693,Chinese
694,Chinese
695,Chinese
696,Chinese
697,Chinese
